MaritalStatus,Education,AcceptedSummary,Age,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue,Customer_Days
Together,Master,0,69,29298,1,1,60,6,0,2,2,0,1,10,9,1,1,0,2,5,0,3,11,2454
Single,Graduation,0,41,47691,0,1,43,14,0,3,0,0,4,17,13,1,1,0,2,6,0,3,11,2518
Together,Graduation,0,50,38200,1,1,19,12,0,4,0,0,1,16,15,1,1,0,2,7,0,3,11,2728
Married,Graduation,0,46,44989,0,1,26,98,0,106,49,10,106,263,157,5,5,1,5,6,0,3,11,2814
Married,PhD,0,52,38443,1,1,58,32,0,5,0,0,1,37,36,2,1,0,3,7,0,3,11,2312
Single,Post Degree,0,42,38593,1,0,42,51,12,49,17,24,24,153,129,3,4,1,3,8,0,3,11,2448
Together,PhD,0,50,64413,0,1,27,200,5,44,0,10,20,259,239,1,5,1,5,5,0,3,11,2491
Married,Master,0,39,36959,1,0,56,25,6,25,6,0,0,62,62,2,2,0,3,8,0,3,11,2429
Married,PhD,1,43,61996,0,1,27,1050,12,144,0,0,24,1206,1182,3,6,4,8,5,0,3,11,2673
Married,Graduation,0,52,51287,1,1,10,117,0,22,13,0,30,152,122,3,4,1,3,7,0,3,11,2248
Married,Graduation,0,50,13260,1,1,48,9,4,17,10,2,7,42,35,4,3,0,3,8,0,3,11,2469
Together,PhD,0,54,47472,1,1,39,56,0,11,0,0,8,67,59,2,2,0,4,5,0,3,11,2445
Together,Master,0,64,54603,1,1,85,145,13,46,17,2,4,223,219,6,4,2,4,7,0,3,11,2514
Married,PhD,1,46,45207,1,1,64,203,0,10,0,0,2,213,211,5,3,1,6,6,0,3,11,2755
Together,Graduation,0,69,40689,0,1,69,270,3,27,39,6,99,345,246,7,7,1,5,8,0,3,11,2627
Together,Post Degree,0,53,47821,1,1,54,9,0,16,6,6,10,37,27,1,1,0,3,8,0,3,11,2411
Married,Master,0,69,27450,0,0,57,37,12,23,8,11,52,91,39,1,2,1,3,7,0,3,11,2599
Together,Graduation,0,37,39453,1,0,64,46,0,7,0,0,2,53,51,2,2,0,3,6,0,3,11,2246
Together,Post Degree,0,49,26850,1,1,10,31,1,13,7,2,9,54,45,4,2,1,4,4,0,3,11,2231
Widow,Graduation,1,65,79800,0,0,65,1060,21,530,32,0,224,1643,1419,1,5,11,5,3,0,3,11,2803
Married,Master,0,59,61794,0,1,74,264,47,188,54,47,11,600,589,2,4,4,10,2,0,3,11,2447
Together,Graduation,1,65,53863,0,1,4,399,4,30,6,4,30,443,413,3,7,1,7,7,0,3,11,2202
Together,Graduation,0,61,24221,0,0,94,8,9,9,2,5,22,33,11,1,1,1,3,4,0,3,11,2472
Single,PhD,1,36,39684,1,0,41,19,0,35,6,4,17,64,47,2,2,1,2,7,1,3,11,2784
Married,Master,1,45,92163,0,0,25,817,183,797,106,163,20,2066,2046,0,5,11,5,2,0,3,11,2723
Single,Master,0,55,69882,0,0,94,292,127,635,132,127,165,1313,1148,1,3,7,9,1,0,3,11,2390
Together,Graduation,0,43,33178,1,0,9,12,6,2,11,2,16,33,17,1,1,0,3,4,0,3,11,2309
Married,PhD,0,48,59973,0,0,47,130,30,168,20,34,0,382,382,1,3,4,7,1,0,3,11,2450
Together,Master,1,45,17459,1,0,12,6,4,16,3,10,30,39,9,3,3,1,2,7,0,3,11,2442
Divorced,Graduation,0,51,23910,1,0,80,16,12,18,7,1,13,54,41,1,2,0,3,7,0,3,11,2770
Married,Master,0,51,42169,1,1,20,19,0,9,0,0,2,28,26,2,1,0,3,8,0,3,11,2412
Married,Post Degree,0,42,26224,1,0,39,4,7,15,13,9,15,48,33,3,2,1,3,6,0,3,11,2549
Together,Graduation,0,39,31089,1,0,57,31,3,31,2,8,4,75,71,3,3,0,4,8,0,3,11,2840
Single,Graduation,0,59,30081,0,1,27,36,0,2,0,0,4,38,34,1,1,0,3,7,0,3,11,2652
Together,Graduation,0,60,62807,0,1,83,526,28,135,10,21,99,720,621,3,5,3,12,5,0,3,11,2826
Single,Graduation,0,65,72906,0,0,79,400,32,519,71,75,54,1097,1043,1,3,4,9,1,0,3,11,2444
Married,PhD,0,72,61467,0,2,69,410,16,114,0,5,49,545,496,3,5,2,10,5,0,3,11,2726
Together,Master,0,54,49618,1,1,77,80,3,26,4,2,14,115,101,4,3,1,3,7,0,3,11,2678
Single,Master,1,34,21888,1,0,15,88,10,46,2,3,64,149,85,4,5,1,2,10,0,3,11,2706
Widow,Graduation,0,47,42429,0,1,99,55,0,6,2,0,4,63,59,2,1,1,3,5,0,3,11,2297
Divorced,Graduation,0,64,26150,2,1,61,5,1,13,3,5,1,27,26,1,1,0,3,7,0,3,11,2634
Married,Basic,0,45,30801,0,1,23,8,4,5,15,2,11,34,23,2,1,0,3,7,0,3,11,2770
Married,Graduation,1,55,81168,0,0,84,410,0,592,147,22,22,1171,1149,1,6,4,7,3,0,3,11,2212
Single,Master,0,51,26877,0,0,74,101,13,76,20,18,40,228,188,2,3,1,6,6,0,3,11,2473
Widow,Master,0,76,45006,0,0,90,162,25,53,16,0,10,256,246,1,3,1,7,3,0,3,11,2505
Married,Basic,0,47,18978,1,0,41,2,8,1,4,7,15,22,7,1,1,0,3,8,0,3,11,2724
Married,Graduation,0,53,22574,2,1,28,25,0,8,2,0,2,35,33,2,2,0,3,7,0,3,11,2403
Single,PhD,1,51,48240,0,0,73,389,91,248,64,49,41,841,800,3,6,3,13,5,0,3,11,2756
Married,Graduation,0,46,45837,1,1,88,215,13,87,17,17,24,349,325,5,6,2,5,7,0,3,11,2497
Single,Master,0,55,35791,2,1,94,27,0,5,0,0,3,32,29,2,1,0,3,8,0,3,11,2578
Widow,Graduation,0,42,54162,1,1,31,5,6,10,6,5,10,32,22,1,1,0,3,4,0,3,11,2627
Married,Master,0,60,30522,0,1,6,179,8,83,19,11,26,300,274,5,1,2,9,2,0,3,11,2840
Married,PhD,0,59,54456,0,1,23,352,0,27,10,0,15,389,374,3,6,1,7,6,0,3,11,2512
Single,Graduation,0,49,31632,0,0,92,17,8,12,11,15,32,63,31,1,2,1,2,7,0,3,11,2509
Widow,Graduation,1,71,72298,0,0,52,625,35,169,58,17,35,904,869,1,4,3,6,1,0,3,11,2270
Single,Post Degree,0,42,36975,1,0,50,10,6,11,0,4,2,31,29,1,1,0,3,7,0,3,11,2342
Married,Post Degree,1,65,72635,0,0,54,390,22,323,104,35,107,874,767,1,6,8,6,3,0,3,11,2550
Married,Graduation,0,44,13624,1,0,93,10,2,15,2,1,6,30,24,2,2,0,3,6,0,3,11,2684
Single,Graduation,0,45,84196,0,1,56,215,63,507,231,31,190,1047,857,1,8,4,7,3,0,3,11,2550
Together,Graduation,1,60,70971,0,1,28,1001,17,572,93,125,17,1808,1791,7,11,11,5,7,0,3,11,2805
Divorced,PhD,0,43,34487,1,1,94,19,18,33,24,1,8,95,87,3,3,0,3,9,0,3,11,2820
Single,Graduation,0,43,28769,1,0,76,41,5,129,10,3,3,188,185,3,4,1,4,9,0,3,11,2717
Married,PhD,0,50,69084,1,0,43,1181,107,199,39,30,30,1556,1526,2,7,3,13,8,0,3,11,2381
Together,PhD,0,62,65488,0,0,46,603,45,207,36,18,54,909,855,1,3,4,6,1,0,3,11,2175
Married,Post Degree,0,50,62466,0,1,13,129,129,259,168,121,83,806,723,5,6,3,12,4,0,3,11,2324
Single,Post Degree,1,60,32218,0,0,27,10,24,15,13,1,30,63,33,1,2,1,3,7,0,3,11,2293
Single,Graduation,1,47,83917,0,0,12,514,22,732,42,198,79,1508,1429,1,6,7,7,3,0,3,11,2596
Divorced,Graduation,0,58,46102,2,1,3,14,0,1,0,0,1,15,14,1,1,0,2,7,0,3,11,2270
Single,Graduation,0,68,84574,0,0,72,387,20,713,38,54,163,1212,1049,1,9,11,11,5,0,3,11,2549
Married,Graduation,0,58,56181,0,1,6,121,103,69,8,44,48,345,297,1,4,2,7,4,0,3,11,2696
Divorced,Master,1,70,63120,0,1,53,965,69,279,54,41,69,1408,1339,5,8,4,9,7,0,3,11,2798
Married,Graduation,1,49,73691,0,1,58,707,21,250,85,43,73,1106,1033,2,6,2,8,2,0,3,11,2394
Together,Graduation,0,60,63381,0,1,78,571,50,142,33,50,159,846,687,4,4,5,13,2,0,3,11,2791
Together,PhD,0,72,76140,0,0,57,586,66,653,17,0,26,1322,1296,1,5,9,6,2,0,3,11,2206
Divorced,PhD,0,61,62859,0,1,37,1063,89,102,16,12,25,1282,1257,4,9,4,6,6,0,3,11,2705
Single,Graduation,1,56,45906,0,1,20,305,3,27,4,3,144,342,198,2,5,4,4,5,0,3,11,2577
Together,Master,1,73,77632,0,0,73,1200,105,758,0,42,147,2105,1958,1,4,2,6,2,0,3,11,2635
Married,PhD,0,49,46463,1,1,56,163,2,40,8,11,11,224,213,7,3,1,6,6,0,3,11,2474
Together,Graduation,1,50,105471,0,0,36,1009,181,104,202,21,207,1517,1310,0,9,8,13,3,0,3,11,2683
Divorced,Master,0,50,55282,1,0,9,125,6,73,8,4,19,216,197,1,3,1,6,4,0,3,11,2357
Married,Master,0,43,78710,0,1,42,721,0,152,119,50,50,1042,992,3,7,6,12,4,0,3,11,2196
Together,Graduation,0,62,66886,0,1,28,315,4,62,41,31,146,453,307,2,7,1,7,5,0,3,11,2445
Single,Master,1,60,98777,0,0,23,1000,19,711,125,115,38,1970,1932,0,4,6,9,1,0,3,11,2291
Together,Graduation,0,35,29103,1,0,38,16,0,17,6,3,6,42,36,2,1,0,3,9,0,3,11,2830
Married,Graduation,0,46,67445,0,1,63,757,80,217,29,80,11,1163,1152,5,9,6,12,6,0,3,11,2845
Together,PhD,0,70,50616,0,1,71,30,2,25,0,1,9,58,49,1,1,1,4,2,0,3,11,2236
Divorced,Graduation,0,65,49431,0,1,9,219,3,100,26,0,17,348,331,2,7,1,5,8,0,3,11,2854
Together,Graduation,0,67,61278,0,1,87,111,3,28,2,6,15,150,135,2,3,1,4,6,0,3,11,2335
Together,Post Degree,0,62,26490,0,0,92,45,47,52,21,20,25,185,160,2,3,1,5,6,0,3,11,2804
Together,PhD,0,73,73059,0,1,36,410,112,420,0,82,71,1024,953,1,9,3,13,4,0,3,11,2461
Single,PhD,1,54,46734,1,2,86,100,1,39,6,1,76,147,71,4,3,2,3,6,0,3,11,2410
Together,Graduation,0,57,56253,0,1,83,509,0,65,7,11,5,592,587,4,7,2,9,6,0,3,11,2728
Married,Graduation,0,35,19986,1,0,74,3,6,5,0,2,6,16,10,1,0,0,3,7,0,3,11,2386
Widow,Graduation,0,45,58330,0,1,87,445,53,213,104,98,151,913,762,1,6,4,13,4,0,3,11,2345
Married,Basic,0,40,25965,0,0,29,2,2,11,41,7,11,63,52,1,2,0,3,8,0,3,11,2819
Together,Master,0,64,14661,0,0,88,4,1,11,6,2,2,24,22,1,1,0,3,6,0,3,11,2703
Married,Graduation,0,61,18690,0,0,77,6,1,7,23,4,19,41,22,1,1,1,2,8,0,3,11,2707
Together,PhD,0,46,45068,0,1,25,14,0,3,0,0,3,17,14,1,1,0,2,7,0,3,11,2568
Single,Basic,0,33,21063,1,0,34,1,10,11,19,3,15,44,29,2,2,0,3,6,0,3,11,2436
Married,PhD,0,52,29187,1,0,43,26,0,6,0,0,2,32,30,1,1,0,3,8,0,3,11,2575
Married,Post Degree,0,49,54690,1,1,76,111,16,37,7,9,18,180,162,3,3,1,5,3,0,3,11,2393
Married,PhD,0,56,59304,0,1,81,418,61,428,80,51,10,1038,1028,3,7,8,10,5,0,3,11,2494
Single,Master,0,58,59247,0,2,87,327,9,122,19,14,83,491,408,5,5,2,9,6,0,3,11,2392
Widow,Graduation,0,50,66731,0,1,33,371,159,194,58,106,141,888,747,4,4,3,6,3,0,3,11,2814
Married,Graduation,0,40,77353,0,1,38,275,59,107,69,101,59,611,552,2,6,4,8,4,0,3,11,2354
Single,PhD,0,45,52614,0,1,63,789,0,142,12,9,38,952,914,2,2,4,8,8,0,3,11,2734
Married,Graduation,0,46,26751,2,0,26,1,1,5,0,3,1,10,9,1,1,0,2,8,0,3,11,2197
Married,PhD,1,57,81300,0,1,17,1004,12,145,32,12,36,1205,1169,3,10,3,5,5,0,3,11,2766
Single,Graduation,0,41,70337,0,0,75,187,81,149,25,43,91,485,394,1,2,2,12,1,0,3,11,2337
Married,Post Degree,1,35,36145,1,0,13,56,4,76,17,1,18,154,136,4,4,1,3,9,0,3,11,2537
Single,PhD,0,40,65295,0,0,19,365,32,117,34,110,6,658,652,1,3,3,13,2,0,3,11,2347
Divorced,Graduation,0,57,68118,0,1,51,595,23,123,10,23,154,774,620,2,8,9,4,6,0,3,11,2413
Divorced,Graduation,0,53,68743,0,0,81,1132,134,384,175,134,115,1959,1844,1,11,5,13,7,0,3,11,2827
Together,Post Degree,0,38,41039,0,0,32,34,11,137,179,61,45,422,377,1,8,1,5,8,0,3,11,2498
Together,Graduation,0,65,38946,0,1,84,116,6,82,6,6,41,216,175,2,3,1,6,5,0,3,11,2407
Together,Graduation,0,53,65777,0,0,87,565,32,435,28,32,54,1092,1038,1,2,8,6,1,0,3,11,2351
Divorced,PhD,0,44,66476,0,1,99,372,18,126,47,48,78,611,533,2,5,2,11,4,0,3,11,2638
Single,PhD,1,48,86857,0,0,96,899,102,838,133,102,40,2074,2034,1,5,6,10,2,0,3,11,2814
Together,PhD,1,31,77845,0,0,40,760,40,480,0,40,26,1320,1294,1,3,5,12,1,0,3,11,2203
Together,PhD,0,51,69476,0,0,3,260,86,559,63,9,67,977,910,1,4,6,4,2,0,3,11,2431
Divorced,PhD,1,60,50611,0,1,98,459,0,24,6,0,4,489,485,6,4,5,7,6,0,3,11,2792
Single,Graduation,0,50,61209,0,0,73,466,0,224,119,49,99,858,759,1,5,3,4,2,0,3,11,2467
Together,Master,0,62,42315,0,1,90,67,15,80,17,11,80,190,110,3,1,4,4,3,0,3,11,2511
Together,Basic,0,68,13084,0,0,29,2,0,7,3,7,10,19,9,1,1,0,3,6,0,3,11,2398
Widow,Master,1,71,47570,1,1,3,67,1,20,0,2,31,90,59,3,2,2,2,7,0,3,11,2555
Married,Master,0,59,61923,0,2,94,92,4,18,3,3,6,120,114,1,2,1,4,3,0,3,11,2497
Single,Graduation,0,25,34824,0,0,65,4,2,11,2,0,4,19,15,1,1,0,2,6,0,3,11,2254
Single,PhD,1,71,26518,1,1,33,20,1,28,3,3,2,55,53,3,2,0,3,8,0,3,11,2606
Single,Graduation,0,59,45938,0,0,46,273,11,178,62,83,29,607,578,2,8,4,6,6,0,3,11,2397
Together,Graduation,1,60,78468,0,0,29,434,22,388,104,22,34,970,936,1,10,7,10,4,0,3,11,2240
Divorced,Graduation,0,47,78901,0,1,99,321,11,309,33,26,34,700,666,3,9,3,5,4,0,3,11,2444
Married,Graduation,0,42,71427,2,0,26,212,123,177,15,64,23,591,568,2,8,2,8,4,0,3,11,2268
Divorced,Graduation,1,42,71022,0,1,30,909,12,278,0,12,242,1211,969,3,5,2,11,8,0,3,11,2297
Single,Master,1,32,90247,0,0,27,1184,32,352,21,16,16,1605,1589,1,3,4,7,1,0,3,11,2220
Divorced,Master,0,52,41335,1,0,24,112,19,21,16,14,5,182,177,3,4,1,4,7,0,3,11,2344
Married,Graduation,1,34,71952,1,0,93,656,80,455,52,107,93,1350,1257,2,8,4,8,4,0,3,11,2694
Divorced,PhD,0,50,35682,1,0,34,23,0,8,6,2,18,39,21,1,1,1,3,2,0,3,11,2161
Divorced,Graduation,0,69,43185,0,1,88,537,6,42,16,6,30,607,577,2,9,3,6,8,0,3,11,2604
Together,PhD,1,72,66375,0,1,96,712,0,45,0,0,191,757,566,3,2,4,5,7,0,3,11,2379
Married,Master,1,49,35178,1,0,10,23,1,13,2,2,18,41,23,1,1,1,2,7,0,3,11,2694
Married,Graduation,0,34,25252,1,0,26,1,3,4,2,2,6,12,6,1,1,0,2,8,0,3,11,2511
Single,Master,0,55,55250,0,1,49,664,58,83,32,0,66,837,771,4,7,5,10,5,0,3,11,2775
Single,Graduation,0,45,33249,1,0,11,6,10,21,19,14,42,70,28,2,2,1,3,6,0,3,11,2653
Together,Graduation,0,67,58398,0,0,44,299,5,201,21,21,49,547,498,3,5,4,8,4,0,3,11,2570
Together,Graduation,0,38,50272,1,0,75,99,13,66,43,8,4,229,225,3,4,1,5,7,0,3,11,2485
Married,PhD,0,45,76618,0,0,64,749,40,294,121,160,147,1364,1217,1,3,2,5,1,0,3,11,2728
Divorced,Post Degree,1,60,87305,0,0,19,345,25,501,63,138,80,1072,992,1,5,3,8,2,0,3,11,2803
Together,Graduation,0,42,25851,1,0,45,9,4,18,7,5,5,43,38,2,2,0,3,7,0,3,11,2662
Divorced,Graduation,0,50,58710,0,1,77,440,81,368,0,122,174,1011,837,6,11,5,9,6,0,3,11,2614
Single,Graduation,0,62,45160,1,1,9,8,2,5,3,0,3,18,15,1,1,0,2,7,0,3,11,2251
Married,Master,0,55,74806,0,1,1,670,9,249,0,28,9,956,947,2,5,4,5,4,0,3,11,2716
Married,Graduation,0,66,59111,0,0,90,524,0,134,28,28,155,714,559,1,11,1,8,7,0,3,11,2582
Married,PhD,0,36,18988,1,0,43,6,0,6,2,1,1,15,14,2,1,0,3,7,0,3,11,2196
Married,Graduation,0,55,72190,0,0,79,597,166,597,172,166,249,1698,1449,1,5,6,4,3,0,3,11,2660
Married,Graduation,1,44,7500,1,0,19,7,0,12,13,7,32,39,7,5,4,1,2,9,0,3,11,2856
Married,Graduation,0,54,44794,0,1,99,54,0,7,0,0,4,61,57,1,2,0,3,6,0,3,11,2180
Married,Graduation,1,65,80395,0,0,62,445,25,706,80,76,48,1332,1284,1,6,5,12,2,0,3,11,2377
Divorced,Master,0,44,75012,0,0,41,294,142,218,164,58,151,876,725,1,3,8,11,1,0,3,11,2314
Married,Master,0,55,56962,2,1,60,292,3,77,10,3,26,385,359,7,6,3,5,7,0,3,11,2420
Together,Graduation,1,29,89891,0,0,17,412,22,132,59,28,183,653,470,1,11,6,8,4,0,3,11,2599
Divorced,PhD,0,71,35946,1,1,24,8,0,3,0,0,0,11,11,1,0,0,3,5,0,3,11,2434
Together,PhD,0,67,53593,1,1,60,349,4,78,6,0,43,437,394,8,7,2,6,8,0,3,11,2850
Married,Graduation,0,42,66373,1,1,57,328,9,124,12,24,109,497,388,7,4,2,10,3,0,3,11,2541
Divorced,PhD,0,72,45072,1,2,74,144,2,99,7,2,30,254,224,5,6,1,4,8,0,3,11,2415
Divorced,Graduation,1,47,89694,1,1,22,1126,28,211,37,28,42,1430,1388,3,4,3,4,5,0,3,11,2422
Married,Graduation,1,71,72025,0,0,46,967,0,617,43,50,0,1677,1677,1,4,8,13,2,0,3,11,2220
Married,Graduation,0,47,67432,0,1,69,432,79,341,177,136,170,1165,995,2,8,5,4,4,0,3,11,2616
Together,Master,0,68,70545,0,1,29,138,39,63,55,18,21,313,292,1,4,1,7,2,0,3,11,2185
Married,Basic,0,31,17487,1,0,37,0,0,1,7,4,6,12,6,1,1,0,2,7,0,3,11,2627
Together,Graduation,0,51,62882,0,1,26,509,133,497,78,24,97,1241,1144,2,7,5,6,4,0,3,11,2848
Single,PhD,0,67,64108,0,1,8,948,10,86,13,21,21,1078,1057,4,6,9,11,5,0,3,11,2622
Together,Master,0,64,34941,1,1,26,39,2,25,4,3,24,73,49,2,3,0,3,8,0,3,11,2639
Single,PhD,0,70,48767,1,2,79,28,1,21,3,0,10,53,43,3,2,1,3,5,0,3,11,2338
Together,Post Degree,0,42,38702,1,0,71,13,11,24,13,8,40,69,29,2,3,0,4,6,0,3,11,2491
Married,Graduation,1,56,82224,0,0,83,307,26,360,138,31,40,862,822,1,6,9,5,3,0,3,11,2314
Together,Graduation,1,68,83844,0,0,57,901,31,345,75,31,191,1383,1192,1,4,4,11,1,0,3,11,2572
Married,Post Degree,0,45,17003,1,0,37,2,5,12,4,8,7,31,24,3,2,0,4,5,0,3,11,2361
Single,Graduation,0,25,71163,0,0,30,283,17,372,138,106,44,916,872,1,3,8,12,1,0,3,11,2271
Single,Graduation,1,50,33697,1,0,34,4,3,7,0,3,11,17,6,1,1,0,2,7,0,3,11,2446
Married,Post Degree,1,66,63564,0,0,0,769,80,252,15,34,65,1150,1085,1,10,10,7,6,0,3,11,2310
Together,PhD,0,48,83443,0,0,89,518,42,742,55,56,84,1413,1329,1,6,10,5,2,0,3,11,2339
Together,PhD,0,62,51518,0,1,92,350,8,66,17,4,4,445,441,2,3,2,10,3,0,3,11,2428
Widow,Graduation,0,45,58330,0,1,87,445,53,213,104,98,151,913,762,1,6,4,13,4,0,3,11,2345
Married,Graduation,1,51,80952,0,0,20,778,178,689,41,27,44,1713,1669,1,8,5,11,8,0,3,11,2645
Together,Graduation,0,41,75507,0,0,56,709,93,374,104,80,80,1360,1280,1,8,6,6,3,0,3,11,2217
Together,Post Degree,0,42,63855,0,0,28,359,35,314,93,116,89,917,828,1,7,3,13,4,0,3,11,2664
Together,PhD,1,48,62220,0,1,55,799,12,375,16,12,12,1214,1202,5,7,6,5,6,0,3,11,2846
Married,Graduation,0,56,58512,0,1,25,895,10,101,13,0,152,1019,867,5,3,4,8,8,0,3,11,2442
Married,Master,0,41,40662,1,0,0,40,2,23,0,4,23,69,46,2,2,1,3,4,0,3,11,2630
Married,PhD,0,61,38829,0,1,86,76,0,7,0,0,16,83,67,1,3,2,2,5,0,3,11,2243
Married,Post Degree,0,39,35523,1,0,8,11,5,22,12,5,11,55,44,2,3,0,3,7,0,3,11,2428
Single,Graduation,0,53,79146,1,1,33,245,16,223,21,43,16,548,532,2,8,1,8,6,0,3,11,2225
Married,Master,0,32,78285,0,0,13,647,107,391,175,67,40,1387,1347,1,6,4,10,3,0,3,11,2403
Single,PhD,1,42,31626,1,0,12,39,1,9,2,1,34,52,18,1,2,1,2,7,0,3,11,2574
Single,Graduation,0,68,75127,0,0,92,203,35,305,46,17,227,606,379,1,2,11,5,1,0,3,11,2197
Married,Graduation,0,65,48726,0,1,90,138,3,38,4,0,59,183,124,3,3,2,4,6,0,3,11,2587
Married,Graduation,0,43,74985,0,0,8,587,51,898,247,0,86,1783,1697,1,3,6,7,2,0,3,11,2815
Together,Graduation,0,33,67430,0,0,6,595,97,291,127,133,121,1243,1122,1,11,5,12,6,0,3,11,2821
Married,Post Degree,0,55,46891,0,1,91,43,12,23,29,15,61,122,61,1,2,1,4,4,0,3,11,2460
Married,Master,0,64,62058,0,1,52,301,7,74,10,0,58,392,334,4,6,1,7,6,0,3,11,2558
Married,Graduation,0,41,72063,0,1,3,180,32,348,76,32,90,668,578,2,5,2,12,2,0,3,11,2520
Married,PhD,0,69,78939,0,0,57,794,115,243,150,0,205,1302,1097,1,8,5,6,3,0,3,11,2358
Single,Graduation,1,55,42720,1,1,9,392,5,91,28,26,112,542,430,8,7,3,7,8,0,3,11,2590
Married,Graduation,0,48,33622,1,1,22,39,1,22,3,4,12,69,57,3,2,0,4,7,0,3,11,2601
Together,PhD,0,63,6835,0,1,76,107,2,12,2,2,12,125,113,0,0,0,1,20,0,3,11,2727
Together,Graduation,0,67,41452,1,1,86,13,0,3,0,0,0,16,16,1,1,0,2,7,0,3,11,2639
Single,PhD,0,55,40760,0,1,64,70,0,17,0,0,6,87,81,2,2,1,3,6,0,3,11,2462
Together,PhD,0,62,74250,0,0,90,680,11,392,75,0,0,1158,1158,1,2,11,4,1,0,3,11,2313
Single,Master,0,65,51124,1,1,79,26,1,11,0,1,4,39,35,2,1,0,3,3,0,3,11,2352
Single,Graduation,0,49,72258,0,1,28,522,0,522,227,120,134,1391,1257,2,6,9,5,2,0,3,11,2449
Single,PhD,0,46,71466,0,0,86,412,12,546,78,182,0,1230,1230,1,4,4,10,1,0,3,11,2244
Together,Graduation,0,44,36283,1,1,42,6,5,5,8,0,5,24,19,2,1,0,3,4,0,3,11,2235
Single,Graduation,0,50,20587,1,0,39,2,3,6,4,1,9,16,7,1,1,1,2,7,0,3,11,2208
Married,Graduation,0,48,30467,1,0,8,1,3,8,2,5,5,19,14,1,1,0,2,7,0,3,11,2261
Together,Graduation,0,48,31590,1,0,40,6,2,15,6,6,3,35,32,1,1,0,3,8,0,3,11,2535
Married,Basic,0,34,20425,1,0,5,4,12,5,3,16,17,40,23,2,2,0,3,7,0,3,11,2767
Together,Master,0,60,17144,1,1,96,18,2,19,0,2,6,41,35,5,3,0,4,7,0,3,11,2293
Divorced,PhD,1,52,42564,0,1,28,324,48,186,39,18,198,615,417,6,6,8,4,7,0,3,11,2702
Married,Master,1,42,43783,1,0,22,327,9,125,25,4,139,490,351,6,7,1,8,7,0,3,11,2190
Divorced,Graduation,0,44,40780,0,1,30,229,27,71,13,3,34,343,309,4,7,1,5,9,0,3,11,2818
Together,Master,0,75,62847,0,0,45,521,168,706,80,76,61,1551,1490,1,3,6,4,2,0,3,11,2689
Married,PhD,1,63,82017,0,0,58,184,23,446,30,23,23,706,683,1,5,4,7,2,0,3,11,2758
Single,Graduation,1,70,16813,0,0,49,4,8,11,12,2,13,37,24,1,2,0,3,7,0,3,11,2504
Married,Graduation,0,42,51267,1,1,37,183,2,64,7,2,12,258,246,4,3,3,5,4,0,3,11,2402
Single,Graduation,0,59,46524,0,1,70,31,19,35,26,14,52,125,73,2,1,1,5,3,0,3,11,2609
Single,Master,1,58,45183,0,0,33,219,3,60,12,9,12,303,291,1,4,1,7,7,0,3,11,2684
Married,PhD,0,66,70421,0,1,98,479,28,136,75,14,35,732,697,3,10,3,7,6,0,3,11,2160
Divorced,Post Degree,0,55,60161,0,1,17,584,44,212,46,8,177,894,717,3,11,4,8,8,0,3,11,2773
Together,Graduation,0,47,73926,0,0,54,627,91,597,159,91,15,1565,1550,1,6,5,12,3,0,3,11,2643
Married,Graduation,0,52,19329,1,0,39,24,1,16,12,2,5,55,50,3,4,0,3,8,0,3,11,2356
Married,Master,0,50,61872,0,1,81,330,5,159,36,27,16,557,541,4,4,4,9,4,0,3,11,2357
Widow,Graduation,0,64,46984,1,1,71,19,1,10,2,1,8,33,25,1,1,0,3,5,0,3,11,2619
Married,Graduation,0,69,34838,1,1,62,28,23,29,29,14,47,123,76,3,2,1,4,6,0,3,11,2685
Single,PhD,0,76,82716,0,0,8,606,148,228,15,148,22,1145,1123,1,6,8,13,2,0,3,11,2395
Married,Graduation,1,62,48192,0,0,76,1039,43,204,153,58,29,1497,1468,3,2,8,12,8,0,3,11,2608
Married,Master,0,44,49681,0,2,66,411,0,26,0,0,21,437,416,6,7,1,7,7,0,3,11,2396
Married,Master,0,49,56850,0,1,83,34,1,19,2,7,0,63,63,1,1,1,3,2,0,3,11,2257
Married,Graduation,0,63,55267,0,1,28,161,28,136,32,3,45,360,315,4,3,4,6,3,0,3,11,2410
Married,Graduation,1,48,59666,1,1,87,623,53,178,23,17,133,894,761,7,3,2,8,8,0,3,11,2623
Single,Graduation,0,48,72504,0,1,43,604,26,470,123,161,94,1384,1290,2,5,9,6,2,0,3,11,2608
Married,Graduation,0,39,26872,0,0,0,3,10,8,3,16,32,40,8,1,1,1,2,6,0,3,11,2415
Single,Graduation,1,48,21359,1,0,1,12,2,17,6,1,10,38,28,2,2,0,3,8,0,3,11,2594
Single,Graduation,0,45,73170,0,0,1,184,174,256,50,30,32,694,662,1,5,4,6,2,0,3,11,2188
Married,Master,0,65,52750,0,1,72,393,0,239,90,69,69,791,722,6,5,7,9,4,0,3,11,2669
Together,PhD,0,34,91820,0,0,72,410,73,747,76,161,30,1467,1437,0,5,5,12,1,0,3,11,2377
